2018-12-03 15:39:46.331130
START
-----------------------------------------------------------------Iter 1
-33 | L1 | 85:E2 | cs_labs
-33 | L1 | 85:E0 | cs_secure
-34 | L1 | 85:E3 | cs_guest
-36 | L1 | 85:F3 | cs_guest
-39 | L1 | 85:F2 | cs_labs
-39 | L1 | 85:F0 | cs_secure
-52 | L2 | 7C:13 | cs_labs
-52 | L2 | 7C:11 | cs_guest
-52 | L2 | 7C:10 | cs_secure
-56 | S1 | 85:B3 | cs_labs
-56 | S1 | 85:B1 | cs_guest
-57 | P1 | 7A:C3 | cs_labs
-58 | L2 | 7C:00 | cs_secure
-58 | S1 | 85:B0 | cs_secure
-59 | H1 | 7A:F0 | cs_secure
-60 | L2 | 7C:03 | cs_labs
-60 | H1 | 7A:F3 | cs_labs
-60 | H1 | 7A:F1 | cs_guest
-61 | H1 | 7A:E0 | cs_secure
-61 | S2 | E1:73 | cs_guest
-61 | S2 | E1:72 | cs_labs
-61 | S2 | E1:70 | cs_secure
-63 | S1 | 85:A0 | cs_secure
-64 | S1 | 85:A3 | cs_labs
-64 | S1 | 85:A1 | cs_guest
-64 | S2 | E1:63 | cs_guest
-65 | S2 | E1:60 | cs_secure
-66 | L2 | 7C:01 | cs_guest
-66 | H1 | 7A:E3 | cs_labs
-66 | H1 | 7A:E1 | cs_guest
-67 | H2 | 77:11 | cs_guest
-68 | H2 | 77:13 | cs_labs
-68 | H2 | 77:10 | cs_secure
-69 | P2 | 7B:B3 | cs_labs
-69 | P2 | 7B:B1 | cs_guest
-69 | P2 | 7B:B0 | cs_secure
-71 | H2 | 77:03 | cs_labs
-71 | H3 | FC:93 | cs_labs
-71 | H3 | FC:92 | cs_secure
-71 | H3 | FC:90 | cs_guest
-73 | H4 | 77:70 | cs_secure
-74 | P1 | 7A:D0 | cs_guest
-74 | H4 | 77:71 | cs_guest
-74 | H4 | 77:73 | cs_labs
-78 | P1 | 7A:D3 | cs_labs
-78 | P1 | 7A:D1 | cs_secure
-83 | H4 | 77:63 | cs_labs
-83 | P1 | 7A:C1 | cs_secure
-88 | S2 | E1:62 | cs_labs
-89 | P2 | 7B:A0 | cs_secure
-90 | H3 | FC:82 | cs_secure
-----------------------------------------------------------------Iter 2
-39 | L1 | 85:F3 | cs_guest
-39 | L1 | 85:F2 | cs_labs
-39 | L1 | 85:F0 | cs_secure
-42 | L1 | 85:E3 | cs_guest
-42 | L1 | 85:E0 | cs_secure
-43 | L1 | 85:E2 | cs_labs
-53 | L2 | 7C:10 | cs_secure
-54 | L2 | 7C:11 | cs_guest
-54 | L2 | 7C:13 | cs_labs
-57 | P1 | 7A:C3 | cs_labs
-58 | H1 | 7A:F0 | cs_secure
-58 | S1 | 85:B0 | cs_secure
-58 | S1 | 85:B1 | cs_guest
-58 | S1 | 85:B3 | cs_labs
-59 | H1 | 7A:F3 | cs_labs
-59 | H1 | 7A:F1 | cs_guest
-62 | S2 | E1:63 | cs_guest
-62 | S2 | E1:62 | cs_labs
-62 | S2 | E1:60 | cs_secure
-63 | S2 | E1:70 | cs_secure
-64 | S1 | 85:A1 | cs_guest
-64 | S1 | 85:A3 | cs_labs
-64 | S2 | E1:73 | cs_guest
-64 | S2 | E1:72 | cs_labs
-64 | H2 | 77:13 | cs_labs
-64 | H2 | 77:11 | cs_guest
-64 | H2 | 77:10 | cs_secure
-66 | L2 | 7C:01 | cs_guest
-66 | H1 | 7A:E1 | cs_guest
-66 | H1 | 7A:E3 | cs_labs
-66 | S1 | 85:A0 | cs_secure
-66 | P2 | 7B:B3 | cs_labs
-66 | P2 | 7B:B1 | cs_guest
-66 | P2 | 7B:B0 | cs_secure
-68 | H4 | 77:71 | cs_guest
-69 | H1 | 7A:E0 | cs_secure
-69 | H4 | 77:73 | cs_labs
-71 | H3 | FC:92 | cs_secure
-71 | H3 | FC:93 | cs_labs
-73 | H4 | 77:70 | cs_secure
-75 | H3 | FC:90 | cs_guest
-75 | P1 | 7A:D1 | cs_secure
-75 | P1 | 7A:D0 | cs_guest
-78 | P1 | 7A:D3 | cs_labs
-83 | H4 | 77:63 | cs_labs
-83 | P1 | 7A:C1 | cs_secure
-89 | P2 | 7B:A0 | cs_secure
-90 | H3 | FC:82 | cs_secure
-----------------------------------------------------------------Iter 3
-42 | L1 | 85:F3 | cs_guest
-42 | L1 | 85:F2 | cs_labs
-42 | L1 | 85:F0 | cs_secure
-52 | L1 | 85:E3 | cs_guest
-52 | L1 | 85:E2 | cs_labs
-52 | L1 | 85:E0 | cs_secure
-53 | L2 | 7C:13 | cs_labs
-53 | L2 | 7C:11 | cs_guest
-53 | L2 | 7C:10 | cs_secure
-54 | H1 | 7A:F0 | cs_secure
-55 | H1 | 7A:F3 | cs_labs
-55 | H1 | 7A:F1 | cs_guest
-57 | P1 | 7A:C3 | cs_labs
-58 | L2 | 7C:01 | cs_guest
-58 | S2 | E1:70 | cs_secure
-59 | S2 | E1:73 | cs_guest
-59 | S2 | E1:72 | cs_labs
-60 | L2 | 7C:00 | cs_secure
-61 | H1 | 7A:E3 | cs_labs
-61 | H1 | 7A:E1 | cs_guest
-62 | H1 | 7A:E0 | cs_secure
-62 | S1 | 85:B3 | cs_labs
-62 | S1 | 85:B1 | cs_guest
-62 | S1 | 85:B0 | cs_secure
-63 | S2 | E1:63 | cs_guest
-63 | S2 | E1:60 | cs_secure
-64 | S1 | 85:A3 | cs_labs
-65 | S1 | 85:A1 | cs_guest
-65 | S1 | 85:A0 | cs_secure
-66 | P2 | 7B:B0 | cs_secure
-67 | H2 | 77:13 | cs_labs
-67 | H2 | 77:11 | cs_guest
-68 | H4 | 77:71 | cs_guest
-68 | P2 | 7B:B3 | cs_labs
-69 | P2 | 7B:B1 | cs_guest
-70 | H3 | FC:93 | cs_labs
-70 | H3 | FC:90 | cs_guest
-71 | H3 | FC:92 | cs_secure
-71 | H2 | 77:10 | cs_secure
-71 | H4 | 77:73 | cs_labs
-73 | H4 | 77:70 | cs_secure
-73 | H2 | 77:03 | cs_labs
-73 | P2 | 7B:A0 | cs_secure
-74 | H2 | 77:00 | cs_secure
-74 | P2 | 7B:A3 | cs_labs
-75 | P1 | 7A:D1 | cs_secure
-75 | H2 | 77:01 | cs_guest
-75 | P1 | 7A:D0 | cs_guest
-78 | P1 | 7A:D3 | cs_labs
-79 | S2 | E1:62 | cs_labs
-83 | P1 | 7A:C1 | cs_secure
-----------------------------------------------------------------Iter 4
-46 | L1 | 85:F3 | cs_guest
-46 | L1 | 85:F2 | cs_labs
-46 | L1 | 85:F0 | cs_secure
-48 | L1 | 85:E3 | cs_guest
-49 | L1 | 85:E0 | cs_secure
-52 | L1 | 85:E2 | cs_labs
-53 | L2 | 7C:10 | cs_secure
-53 | L2 | 7C:13 | cs_labs
-53 | L2 | 7C:11 | cs_guest
-54 | L2 | 7C:00 | cs_secure
-57 | S1 | 85:B3 | cs_labs
-57 | S1 | 85:B1 | cs_guest
-57 | S1 | 85:B0 | cs_secure
-58 | S2 | E1:73 | cs_guest
